ES1,SW1

SW1,SW2
0	76	Flow0	0
76	176	Flow1	0
176	236	Flow4	0
276	339	Flow5	0
2500	2576	Flow0	1
2576	2676	Flow1	1
2676	2736	Flow4	1
2776	2839	Flow5	1
5000	5076	Flow0	2
5076	5176	Flow1	2
5176	5236	Flow4	2
5276	5339	Flow5	2
7500	7576	Flow0	3
7576	7676	Flow1	3
7676	7736	Flow4	3
7776	7839	Flow5	3
10000	10076	Flow0	4
10076	10176	Flow1	4
10176	10236	Flow4	4
10276	10339	Flow5	4
12500	12576	Flow0	5
12576	12676	Flow1	5
12676	12736	Flow4	5
12776	12839	Flow5	5

SW1,ES2
0	68	Flow2	0
87	174	Flow7	0
174	254	Flow8	0
2500	2568	Flow2	1
2587	2674	Flow7	1
2674	2754	Flow8	1
5000	5068	Flow2	2
5087	5174	Flow7	2
5174	5254	Flow8	2
7500	7568	Flow2	3
7587	7674	Flow7	3
7674	7754	Flow8	3
10000	10068	Flow2	4
10087	10174	Flow7	4
10174	10254	Flow8	4
12500	12568	Flow2	5
12587	12674	Flow7	5
12674	12754	Flow8	5

ES2,SW1

SW1,ES1
0	46	Flow3	0
230	293	Flow6	0
1000	1046	Flow3	1
1730	1793	Flow6	1
2000	2046	Flow3	2
3000	3046	Flow3	3
3230	3293	Flow6	2
4000	4046	Flow3	4
4730	4793	Flow6	3
5000	5046	Flow3	5
6000	6046	Flow3	6
6230	6293	Flow6	4
7000	7046	Flow3	7
7730	7793	Flow6	5
8000	8046	Flow3	8
9000	9046	Flow3	9
9230	9293	Flow6	6
10000	10046	Flow3	10
10730	10793	Flow6	7
11000	11046	Flow3	11
12000	12046	Flow3	12
12230	12293	Flow6	8
13000	13046	Flow3	13
13730	13793	Flow6	9
14000	14046	Flow3	14

SW2,SW1

SW1,SW2

SW2,ES3
76	152	Flow0	0
176	276	Flow1	0
276	336	Flow4	0
339	402	Flow5	0
2576	2652	Flow0	1
2676	2776	Flow1	1
2776	2836	Flow4	1
2839	2902	Flow5	1
5076	5152	Flow0	2
5176	5276	Flow1	2
5276	5336	Flow4	2
5339	5402	Flow5	2
7576	7652	Flow0	3
7676	7776	Flow1	3
7776	7836	Flow4	3
7839	7902	Flow5	3
10076	10152	Flow0	4
10176	10276	Flow1	4
10276	10336	Flow4	4
10339	10402	Flow5	4
12576	12652	Flow0	5
12676	12776	Flow1	5
12776	12836	Flow4	5
12839	12902	Flow5	5

ES3,SW2

SW2,SW1
0	87	Flow7	0
87	167	Flow8	0
167	230	Flow6	0
1667	1730	Flow6	1
2500	2587	Flow7	1
2587	2667	Flow8	1
3167	3230	Flow6	2
4667	4730	Flow6	3
5000	5087	Flow7	2
5087	5167	Flow8	2
6167	6230	Flow6	4
7500	7587	Flow7	3
7587	7667	Flow8	3
7667	7730	Flow6	5
9167	9230	Flow6	6
10000	10087	Flow7	4
10087	10167	Flow8	4
10667	10730	Flow6	7
12167	12230	Flow6	8
12500	12587	Flow7	5
12587	12667	Flow8	5
13667	13730	Flow6	9

#
